BISHOP,kroqbandit,8
BISHOPRIC_FIRST_COUNSELOR,Camerado65,6
BISHOPRIC_SECOND_COUNSELOR,soldiercloudstrife,6
WARD_CLERK,lafaele40,7
WARD_ASSISTANT_CLERK,RIBITALOT@AOL.COM,6
WARD_EXECUTIVE_SECRETARY,iansalas,6
MEMBER1,dcbryson,1
MEMBER2,Kimburrell,1
ELDERS_QUORUM_PRESIDENT,adambee,5
ELDERS_QUORUM_FIRST_COUNSELOR,gabrielsmith,5
ELDERS_QUORUM_SECOND_COUNSELOR,Aloeb1013,5
ELDERS_QUORUM_SECRETARY,ShaneCGardner,5
RELIEF_SOCIETY_PRESIDENT,bridgemp,5
# RELIEF_SOCIETY_FIRST_COUNSELOR,emcorbin,5
RELIEF_SOCIETY_SECOND_COUNSELOR,ELRodz82,5
RELIEF_SOCIETY_SECRETARY,julieryan,5
YOUNG_WOMEN_PRESIDENT,rosettelambson,4
YOUNG_WOMEN_FIRST_COUNSELOR,Jackiecarranza1,4
YOUNG_WOMEN_SECOND_COUNSELOR,mahina_12006,4
SUNDAY_SCHOOL_PRESIDENT,Shane_Callahan16,4
# SUNDAY_SCHOOL_FIRST_COUNSELOR,Angelguti9,4
WARD_MISSION_LEADER,Christian9,4
